,N_Correct_Des,N_Correct_UTS,Sample_total_swc_g,TDR_total_swc_g,bd,lw,soc_water,Elev,Canopy,landCoverClass,OldName,NewName,CalDate,airRH,airT,WeightedTDR,ppt,Bare,BWE_mm,BWE_uncer,N0_port_to_stat,Raw_Mod_cv,Raw_Mod_sqrt,N0_fit_Des,N0_fit_UTS,N_ratio_Des,N_ratio_UTS,Des_resid_singleN0,Rhov_cal_g_cm3,UTS_Resid_singleN0,Site,N0_Desilets,N0_UTS,GRAV_TDR_offset,TDR_Grav_ratio
0,2819.166327665351,2676.9406825708165,0.1692845792300979,0.10827047264384254,1.361518108344007,0.0315,0.0185,2213.1528,half-forest,Pasture with aspen,Crys 1,C2,2023-07-31,62.075,18.575,0.0793363036863557,2.4081,857.3175758182958,82.9021925479212,4.942364161724904,1.3323168947662272,0.0098144323519677,101.9006663021043,4296.054224325598,6350.422601577462,1.3039753908765113,1.3026287237447025,-0.011976347091065292,2.65763586028831e-05,-0.008006659211576866,C2,4296.054224325598,6350.422601577462,0.06101410658625536,0.6395767005846249
1,2801.073442311828,2659.156668655323,0.11654056739173689,0.08710169161916198,0.9801954581421034,0.028499999999999998,0.013000000000000001,2208.5808,forest,Ponderosa pine,Crys 2,C1,2023-07-31,44.333333333333336,24.5,0.0446985710086994,2.4081,1120.4881542036155,40.76532908884749,1.9795670778219752,1.2987329424781986,0.0097956320358738,102.10144580890652,3907.8171591601176,5670.147843787238,1.3557582457140882,1.351954615898512,-0.06928433686209275,1.5538992824762943e-05,-0.06478301801759849,C1,3907.8171591601176,5670.147843787238,0.02943887577257491,0.7473937493918343
2,2778.4624146287197,2644.722722895045,0.21441396234830398,0.12161117958768067,0.8743120546698385,0.040499999999999994,0.03,2131.4664,forest,Cottonwood riparian,Crys 3,C3,2023-07-31,36.5,27.0,0.0446871204419042,8.7726,1060.4214827715225,96.31413316937264,2.6026584708246707,1.294736719253763,0.0101801483632205,98.24776557694918,4547.606532372419,6804.33001993258,1.3372667307869175,1.3453527327736476,0.022683810664239662,1.1557099946230672e-05,0.029740770392749194,C3,4547.606532372419,6804.33001993258,0.09280278276062331,0.5671793863411275
3,3109.4247665832927,2943.102415520885,0.09253012039268,0.08815628511430794,1.204974427969537,0.0295,0.013000000000000001,1976.0184,forest,Oak forest,Crys 6,C4,2023-07-31,39.625,27.700000000000003,0.0550146560388273,7.066,1033.650554095717,11.682695480554193,0.7597026405441388,1.2317716421797265,0.0099777470335742,100.23898897270844,4087.2380305072734,5805.314179365809,1.3347888752043728,1.2975885505451663,-0.03073815149955804,1.3907986002381716e-05,-0.037168428427504036,C4,4087.2380305072734,5805.314179365809,0.004373835278372054,0.9527306863990845
4,3016.412616365551,2872.0374950201876,0.282742270343094,0.14320649779747247,1.1516752129295567,0.032,0.0235,2907.4872,forest,Ponderosa pine,Fry 4,F2,2023-08-02,86.875,12.375,0.1010093995262098,7.8251,1202.4139361348332,53.50223186752186,5.288655420376647,1.3186251459108989,0.0075602725132663,132.28776796407806,5270.965675613889,7932.494223865719,1.3220134200579585,1.313870766179984,0.1435279354060071,4.744072871845877e-05,0.14226182451243316,F2,5270.965675613889,7932.494223865719,0.13953577254562155,0.506491291958922
5,2576.3932925310523,2459.7886209910116,0.30345470941558905,0.22912413090921008,0.9545266895174276,0.062,0.033,2401.5192,half-forest,Aspen grove,Fry 5,F3,2023-08-02,43.25,22.875,0.1280250626611704,10.0126,844.1724440816413,25.454255108805302,0.6936765907763532,1.2778288788363272,0.0097013576667338,103.09610712169746,4631.689050043522,6997.485039991221,1.3171379690678198,1.3200959161086383,0.04646668296803863,1.3758647280441398e-05,0.06634172687111478,F3,4631.689050043522,6997.485039991221,0.07433057850637897,0.7550521504526023
6,3499.541304435091,3362.7623136824695,0.08371744624826681,0.07475485954432216,1.3463751240571322,0.036500000000000005,0.0175,2122.0176,non-forest,Riparian floodplain,Fry 6,F4,2023-08-02,29.0,27.166666666666668,0.0279438265937751,8.9871,855.7963093698423,0.9630534494449516,0.2650248896623229,1.342654723082949,0.0091838386755669,108.90079457756184,4494.619280217012,6422.194951690752,1.3117679735233274,1.3250245697806273,0.010078599976714703,7.807144079632614e-06,-0.0006782967615308333,F4,4494.619280217012,6422.194951690752,0.008962586703944647,0.892942425914835
7,2637.7640694360816,2518.0397753668985,0.20372412646874502,0.09766179115174203,1.0346831511562131,0.05450000000000001,0.0225,3200.0952,half-forest,Alpine meadow,RF 1,F1,2023-08-01,53.166666666666664,19.333333333333332,0.021378407177416,6.0832,847.1916129500962,67.19156181177802,1.5557946110662408,1.3162385057198762,0.0073385248285258,136.28260912485092,4233.316520386062,6338.42320550836,1.3658169705385717,1.4334131458882136,-0.03068648510072905,1.8618574253172683e-05,-0.014702538250648212,F1,4233.316520386062,6338.42320550836,0.10606233531700299,0.4793825495515138
8,2324.2618468729393,2190.881395804107,0.2982465797552283,0.3491444577182491,0.8756881922107961,0.0615,0.0375,2992.5264,half-forest,Alpine meadow,RF 2,R1,2024-06-30,39.81880652625,28.4198164975,0.2190485479708435,0.86079997,703.4641919878155,52.24927262210054,1.6618195117633592,,0.008555606815946,116.8867261467204,4028.54735199058,5998.90782554967,1.3653222034979322,1.3433826338157817,-0.09317838895741437,1.4409585344904038e-05,-0.07191988966025076,R1,4028.54735199058,5998.90782554967,-0.05089787796302081,1.1706570382292156
9,2730.0395533783667,2582.658599421216,0.18881967037830802,0.10549393414062563,0.8915580294162293,0.035,0.035500000000000004,2455.164,forest,Wetland/aspen,RF 3,R2,2023-08-01,65.66666666666667,18.833333333333332,0.0311991229639375,6.4535,1077.37897977862,28.638776668551863,0.2952573089577675,1.2904802134552151,0.009156444481303,109.22792445613815,4322.756415370937,6402.070530671309,1.285705772226647,1.281008618840114,-0.016371043230242882,3.1398281202256494e-05,-0.011375873490370336,R2,4322.756415370937,6402.070530671309,0.08332573623768239,0.5587020352766434
10,2738.628230539801,2596.3701422422037,0.213654481386217,0.17638247361875503,1.2486791811637519,0.035,0.013000000000000001,2036.9784,non-forest,Sagebrush,RF 6,R5,2023-08-03,76.625,15.625,0.160308522034044,18.481699,813.4276156775887,2.039747233890117,0.2226615337818339,1.3027612023053476,0.0104824215579205,95.42051980310274,4446.769340591847,6620.646157036151,1.2715059832091236,1.264899857681854,0.010936767007790282,4.063223391923957e-05,0.017084408127706924,R5,4446.769340591847,6620.646157036151,0.03727200776746198,0.8255500772759994
11,3124.3991753345986,2973.931793928697,0.1278806658729484,0.1209002425776672,1.0053672445347184,0.041,0.014,2229.3072,half-forest,Heavy sagebrush with oak perimeter,RF 7,R3,2023-08-01,45.0,23.25,0.0662539452944788,2.0056,855.4249773557783,8.122722357284601,0.9375025415364604,1.2768615020183498,0.0093750862825885,106.68018818314114,4426.164117215696,6466.099781193495,1.3250298366265751,1.3285127625030777,0.006994526198665849,1.5232475344303665e-05,0.002548925009092151,R3,4426.164117215696,6466.099781193495,0.006980423295281216,0.9454145531098783
12,2727.119169939327,2602.975739038504,0.25135780039867,0.2673010118298958,1.1540670781482973,0.0485,0.008,2182.9776,half-forest,Sagebrush,RF 8,R7,2023-08-05,48.0,21.125,0.2432785077932325,0.0,809.6039464785418,3.4087776053660104,0.4195391732989448,1.3059734455790268,0.0098048935006223,101.99679443247278,4630.5766959379625,6971.694547895343,1.2389249782367924,1.2220187513136929,0.0453174059398484,1.598552576101383e-05,0.05647894066691028,R7,4630.5766959379625,6971.694547895343,-0.01594321143122579,1.0634283535499547
13,3142.245129783212,3073.652348432917,0.18205637138600303,0.2828831782439029,1.279805272452847,0.0395,0.011,2150.9736,non-forest,Sagebrush/grasses,RF 9,R6,2024-04-10,52.26666666666667,7.466666666666666,0.2974052167458967,0.0,822.1023784953105,0.121462588,3.154724710652263e-05,1.2773385118538279,0.0098737853405902,101.28315697637528,4841.003273940927,7384.263422954543,1.5280590454763745,1.516364318560541,0.0639476940864465,6.899209639323215e-06,0.06939119056955483,R6,4841.003273940927,7384.263422954543,-0.10082680685789988,1.5538219074141764
14,2864.6277118824373,2715.956341816899,0.24039618636336502,0.296968170902888,1.0133969612665028,0.035500000000000004,0.0165,2123.2368,half-forest,Irrigated alfalfa ,RF5,R4,2023-08-03,57.375,20.5,0.24825,13.4688,1010.4703896075144,20.966306764047665,0.908793365686114,1.3277824578720603,0.0101534193509723,98.50462854371987,4861.721216483492,7270.582205144449,1.3163831270994517,1.4069609449580818,0.07001430977173267,2.3874172204231576e-05,0.07146298013855179,R4,4861.721216483492,7270.582205144449,-0.056571984539523,1.2353281281010549
